Title,rating,reviewCount,website,phoneNumber,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday
Queen Of Steel,,,http://www.queenofsteel.co.za/,+27 21 712 5088,Shop G64 Blue Route Mall - Tokai - Cape Town - 7945 - South Africa,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 5p.m.
Kings And Queens Ink Lounge,,,,+27 79 399 0926,5 Kiepersol St - Kuils River - Cape Town - 7580 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 3p.m.,Closed
Good Things Tattoo,,,goodthingstattoo.com,+27 60 603 3586,304 Albert Rd - Woodstock - Cape Town - 7925 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed
Kak Lucky Tattoos,,,kakluckytattoos.com,+27 21 422 2963,43 Kloof St - Gardens - Cape Town - 8001 - South Africa,Closed,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,Closed
Dark Horse Society,,,darkhorse.co.za,,91 1st Ave - Claremont - Cape Town - 7708 - South Africa,Closed,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,Closed
Skullbox & Tattoo Company,,,skullboxtattoocompany.com,+27 72 403 3071,Shop 2 - The Emporium - Sandown Rd - Parklands - Cape Town - 7441 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed
Arcane Tattoo & Piercing,,,https://www.facebook.com/Arcanetattoo,+27 21 447 1967,98 Lower Main Rd - Observatory - Cape Town - 7935 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 3p.m.,Closed
Inkfinity Tattoo Studio,,,https://www.facebook.com/inkfinity.tattoo.studio/,+27 74 664 6464,242 Voortrekker Rd - Parow - Cape Town - 7500 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Skintrade Tattoos,,,skintrade.co.za,+27 76 025 2410,Shop 5 - Northpoint Centre - Porterfield Rd - Table View - Cape Town - 7441 - South Africa,10a.m. - 3p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed
Marius Bosman'S Tattoo Studio,,,https://m.facebook.com/login.php?next=https%3A%2F%2Fm.facebook.com%2Fmariusbosmantattoos&refsrc=deprecated&_rdr,+27 78 607 5775,580 Frans Conradie Dr - Brackenfell - Cape Town - 7139 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed
Devon Slaves Tattoos,,,,+27 83 229 0376,30 Tennant Cres - N.T. - Cape Town - 7493 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.
The Ink Lane Tattoos,,,facebook.com,+27 81 584 1336,Burgundy Estate - Cape Town - 7441 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.
Mantra Tattoos,,,https://m.facebook.com/login.php?next=https%3A%2F%2Fm.facebook.com%2Fsamantratattoos%2F&refsrc=deprecated&_rdr,+27 82 528 0566,142 Buitengracht St - Cape Town City Centre - Cape Town - 8000 - South Africa,,,,,,,
Primal Culture Tattoo Studio,,,primalculture.co.za,+27 21 707 1299,unit 3 - Clarewood - 1 Annandale Rd - Diep River - Cape Town - 7800 - South Africa,Closed,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 2p.m.,Closed
Monarch Tattoo Co.,,,https://www.monarchtattoo.co.za/,+27 76 839 6849,The Old Castle Brewery 4th Floor - Unit 410 - Woodstock - Cape Town - 7925 - South Africa,Closed,Closed,10:30a.m. - 5p.m.,10:30a.m. - 5p.m.,10:30a.m. - 5p.m.,10:30a.m. - 5p.m.,10:30a.m. - 5p.m.
Disciples Ink Durbanville Tattoo Studio,,,disciplesink.co.za,+27 61 289 9798,1st Floor Shop 1 - Tygervally - High Street Center Durban Road - 8 Durbanville Ave - Cape Town - 7530 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.
Hellhound Tattoo Studio,,,hellhoundtattoo.co.za,+27 81 506 6495,7 Blaauwberg Rd - Table View - Cape Town - 7441 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,9a.m. - 6p.m.,Closed
The Knowbodies,,,https://m.facebook.com/theknowbodiestattoos/about/?ref=page_internal&mt_nav=1&refsrc=deprecated&_rdr,+27 83 756 9055,,9a.m. - 3:30p.m.,9a.m. - 3:30p.m.,9a.m. - 3:30p.m.,9a.m. - 3:30p.m.,9a.m. - 3:30p.m.,9a.m. - 3:30p.m.,9a.m. - 3:30p.m.
Ten Two Tattoo,,,https://m.facebook.com/login.php?next=https%3A%2F%2Fm.facebook.com%2Fprofile.php%3Fid%3D1096652487018983&refsrc=deprecated&_rdr,+27 73 069 2156,24A - 26 Main Rd - Rondebosch - Cape Town - 7700 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed
Wildfire Tattoo & Piercing - Canal Walk,,,https://wildfireza.com/,+27 21 552 8929,Shop 478a - Entrance 8 - Canal Walk - Century Blvd - Century City - Cape Town - 7441 - South Africa,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.
Disciples Ink Strand Tattoo Studio,,,disciplesink.co.za,+27 71 099 7458,Beach Rd - Strand - Cape Town - 7140 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.
Blake Ink Tattoo & Piercing Studio,,,,+27 76 903 2356,Gateway To Obz - 1 Cranko Rd - Observatory - Cape Town - 7925 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Kanasashi Tattoos,,,,+27 72 213 5072,86 Victoria Rd - Plumstead - Cape Town - 7801 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,9a.m. - 4p.m.,Closed
Cape Tattoo Co,,,https://www.facebook.com/capetattoo/,+27 82 552 9423,Inside Armchair Theatre - 135 Lower Main Rd - Observatory - Cape Town - 7925 - South Africa,,,,,,,
Moving Art Tattoos And Piercings,,,movingarttattoos.co.za,+27 72 869 8237,18 Monte Vista Blvd - Monte Vista - Cape Town - 7460 - South Africa,,,,,,,
Afterlife Ink Tattoos,,,https://www.facebook.com/afterlifetattoos83/,+27 78 743 7712,140 Voortrekker Rd - Goodwood - Cape Town - 7460 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.
True Colours Tattoo Studio,,,,+27 82 503 7714,G17 - Stadium on Main - 99 Main Rd - Claremont - Cape Town - 7708 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 4p.m.,Closed
Team Black Sheep Tattoos,,,https://www.facebook.com/teamblacksheeptattoocapetown/,+27 79 367 0116,12 Marine Cir - Table View - Cape Town - 7441 - South Africa,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5p.m.,Closed
Serenity Tattoos & Piercings Cpt,,,,+27 64 317 1588,11 Vlei St - Parow Valley - Cape Town - 7530 - South Africa,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,10a.m. - 5p.m.,11a.m. - 3p.m.
Illusion Tattoos Supplies (Tattoos & Piercings) (Pty) Ltd.,,,https://www.illusiontattoos.co.za/,+27 62 682 8327,52 Cross Rd - Table View - Cape Town - 7441 - South Africa,,,,,,,
Bethaaink_Tattoo & Piercing,,,chrome-error://chromewebdata/,+27 67 884 2957,24 Plein St - Cape Town City Centre - Cape Town - 8000 - South Africa,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
The Tattooer,,,https://www.thetattooer.net/,+27 82 456 2858,13th Ave - Boston - Cape Town - 7530 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Black Jack Tattoos,,,heytattoo.co.za,+27 66 434 7976,83 Voortrekker Rd - Glenlily - Cape Town - 8000 - South Africa,8a.m. - 5p.m.,8a.m. - 5p.m.,8a.m. - 5p.m.,8a.m. - 5p.m.,8a.m. - 5p.m.,8a.m. - 5p.m.,Closed
Studio 52,,,,,Parklands Junction - Parklands Main Rd & Wood Dr - Parklands - Cape Town - 7441 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed
Palm Black Tattoo,,,https://www.instagram.com/palmblacktattoo/,+27 21 461 0622,16B Kloof Nek Rd - Gardens - Cape Town - 8001 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Skullair Tattoo Supplies Cape Town,,,skullair.co.za,+27 81 040 5194,127 Blaauwberg Rd - Table View - Cape Town - 7441 - South Africa,8a.m. - 7p.m.,8a.m. - 7p.m.,8a.m. - 7p.m.,8a.m. - 7p.m.,8a.m. - 7p.m.,8a.m. - 7p.m.,8a.m. - 7p.m.
Black Cannon Tattoos,,,bctattoo.co.za,+27 72 732 0482,120 Main Rd - Muizenberg - Cape Town - 7945 - South Africa,Closed,9:30a.m. - 5p.m.,9:30a.m. - 5p.m.,9:30a.m. - 5p.m.,9:30a.m. - 5p.m.,9:30a.m. - 5p.m.,Closed
Mad Ink Tattoos,,,madink.co.za,+27 71 302 2660,54 McIntyre St - Glenlily - Cape Town - 7500 - South Africa,Closed,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,9a.m. - 4:30p.m.,9a.m. - 2p.m.,Closed
Sanctum Design Tattoo Theatre,,,,+27 71 489 0520,Capricorn Beach Estate - 39 Santiago Bay - Sanderling Rd - Muizenberg - Cape Town - 7975 - South Africa,10a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,10a.m. - 8p.m.,10a.m. - 8p.m.
Sally Mustang Tattoos Cape Town,,,https://www.sallymustangs.co/,+27 21 426 9020,29 Park Ave - Hout Bay - Cape Town - 7806 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Killswitch-Ink,,,,+27 81 499 1138,3 Clarens Rd - Sea Point - Cape Town - 8060 - South Africa,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,8a.m. - 6p.m.,9a.m. - 3p.m.,Closed
All Hands Tattoo Studio,,,,+27 72 136 2347,77 Main Rd - Muizenberg - Cape Town - 7945 - South Africa,9a.m. - 5p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 5p.m.
Inkrepublik Tattoo Studio,,,,+27 65 676 7289,Shop 13 Village Gate - Main Rd - Hout Bay - Cape Town - 7806 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,9a.m. - 4p.m.,Closed
Ink Cartel Cape Town,,,https://barbercartel.co.za/,+27 79 501 9219,87 Victoria Rd - Camps Bay - Cape Town - 8001 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 3p.m.,10a.m. - 3p.m.
Dreaming Ink,,,https://www.instagram.com/dreaminginktattoos/,+27 84 232 0537,34 Palmer Rd - Muizenberg - Cape Town - 7950 - South Africa,Closed,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,10a.m. - 4:30p.m.,Closed
Wildfire Tattoo And Body Piercing Studio,,,wildfireza.com,+27 79 244 8699,Unit 4 - Access park - 81 Chichester Rd - Kenilworth - Cape Town - 7708 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 4p.m.,Closed
New Dawn Tattoos,,,https://www.facebook.com/newdawntattoos,+27 71 482 1412,136 Edward Rd - Bo Oakdale - Cape Town - 7530 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.
Tools Of Trade Tattoo Studios,,,,+27 65 299 5498,10a Brickfield Park - 18 Brickfield Rd - Woodstock - Cape Town - 7925 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,Closed
Master G Inks Cape Town,,,,+27 79 932 8358,261 Main Rd - Sea Point - Cape Town - 8001 - South Africa,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,9a.m. - 7p.m.,Closed,10a.m. - 5p.m.
Black & White Tattoo Studios - Cape Town,,,blackandwhitetattoostudios.co.za,+27 68 143 2262,Shop 407a - Canal Walk Mall - Century Blvd - Century City - Cape Town - 7441 - South Africa,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,9:30a.m. - 6p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.
The Witch House,,,thewitchhouse.co.za,+27 78 083 5808,34 1st Ave - Claremont - Cape Town - 7708 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Henna Tattoos,,,hennatattoos.co.za,+27 82 324 3741,"14 Highgrove, - 35 Tokai Rd - Tokai - Cape Town - 7945 - South Africa",8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,Closed,Closed
Marshall Law Tattoo Studio,,,,+27 82 223 2269,c/o Jakes Gerwel Drive &Morgenster Road - Mitchells Plain - Cape Town - 7798 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,9a.m. - 6p.m.,8a.m. - 3:30p.m.,Closed
Amethyst Body Art,,,https://amethystbodyart.com/,+27 71 927 9773,19 Blaauwberg Rd - Table View - Cape Town - 7441 - South Africa,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,10a.m. - 5:30p.m.,Closed
Secret Garden Tattoo,,,,+27 82 944 0491,161 Main Rd - Plumstead - Cape Town - 7800 - South Africa,Closed,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 3p.m.,Closed
Whittleink Tattoo Studio,,,https://www.facebook.com/WhittleInkFamily/?ref=pages_you_manage,+27 83 680 4047,186 Metropolitan St - Beacon Valley - Cape Town - 7785 - South Africa,5 - 7p.m.,5 - 7p.m.,5 - 7p.m.,5 - 7p.m.,5 - 7p.m.,10a.m. - 7p.m.,10a.m. - 5p.m.
Samurai Empire Tattoo Studio,,,,+27 79 412 8522,Tygervalley - Shop 2 - Cascades 1 Tyger Waterfront - Cape Town - 7785 - South Africa,Closed,Closed,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,11a.m. - 8p.m.
Ink & Cbd Studio 85,,,,+27 65 993 6151,Parklands Park West Centre Unit 12A2 - Cape Town - 7441 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,Closed,Closed
Ds.Ink Tattoos,,,,+27 60 537 0988,,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Skin Vandal Tattoos,,,business.site,+27 73 790 5732,31 Coway St - Diepwater - Cape Town - 7580 - South Africa,8a.m. - 4a.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,8a.m. - 4p.m.,10a.m. - 4p.m.
Needles & Pins Tattoo,,,https://needlespins-tattoo.business.site/,+27 61 419 3694,Shop 2 Triangle Square - Cnr de Waal & - 1st Cres - Fish Hoek - Cape Town - 7974 - South Africa,Closed,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
"""R""""Ink Tattoos Sa""",,,https://rink-tattoos-sa.business.site/?utm_source=gmb&utm_medium=referral,+27 71 359 2095,18 Marlborough St - Marlborough - Cape Town - 7500 - South Africa,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 2p.m.
Gray'S Ink,,,https://grays-ink.business.site/,+27 62 341 9226,4 Stag Cres - Mitchells Plain - Cape Town - 7785 - South Africa,6 - 9p.m.,6 - 9p.m.,6 - 9p.m.,6 - 9p.m.,5:30 - 10p.m.,10a.m. - 10p.m.,Closed
Pennyred Tattoo Supplies (Pty)Ltd. & Tattoo Studio,,,https://www.pennyred.co.za/,+27 83 265 8344,Sunningdale - Cape Town - 7441 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 2p.m.,Closed
Ink 'N Steel - Tattoo & Piercings,,,https://ink-n-steel-tattoo-piercings.business.site/?utm_source=gmb&utm_medium=referral,+27 71 338 3785,Shop 2B De Bron Centre - Gardener St - Vredekloof Heights - 7560 - South Africa,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 3p.m.,Closed
True Black Tattoo Training,,,,+27 84 569 1406,2 Long St - Cape Town City Centre - Cape Town - 7441 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 1p.m.,Closed
Murder Ink Tattoo & Piercing Lounge,,,,+27 21 811 1779,116 Lang St - Kuils River - Cape Town - 7580 - South Africa,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,10a.m. - 6p.m.,11a.m. - 4p.m.,Closed
Hood Ink,,,,+27 78 783 5615,26B Lower Main Rd - Observatory - Cape Town - 7935 - South Africa,,,,,,,
Black Rose Tattoos,,,,+27 73 023 0746,363 Albert Rd - Woodstock - Cape Town - 7915 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 4p.m.,Closed
Tainted Skin Tattoo Studio,,,,+27 79 698 1962,Murray St - Vasco Estate - Cape Town - 7460 - South Africa,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,10a.m. - 2p.m.,Closed
'S' Tattoo Supplies And Skincare Products,,,https://s-tattoo-supplies.business.site/?utm_source=gmb&utm_medium=referral,+27 68 055 5555,269B Voortrekker Rd - Parow - Cape Town - 7500 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 2p.m.,Closed
Aya Soul Tattoos,,,pingils.co.za,+27 82 564 9992,222 Sir Lowry Rd - Zonnebloem - Cape Town - 7925 - South Africa,Closed,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 7p.m.,10a.m. - 5p.m.,10a.m. - 5p.m.,Closed
Brightstar Tattoo And Piercing Studio,,,,+27 74 782 7640,15 Oxford Cres - london village - Cape Town - 7785 - South Africa,Closed,Closed,Closed,Closed,Closed,9a.m. - 6p.m.,9a.m. - 5p.m.
Rotten Apple Tattoo Studio,,,,+27 78 936 7861,Shop 276 Retreat Rd - Retreat - Cape Town - 7945 - South Africa,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 5p.m.,11a.m. - 3p.m.,Closed
All Or Nothing Tattoo Studio,,,,+27 82 556 0898,145 Sir Lowry Rd - Zonnebloem - Cape Town - Western Cape - Cape Town - 7925 - South Africa,10a.m. - 2p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 4p.m.,10a.m. - 6p.m.,Closed
Firehawk Ink,,,https://firehawkink.wixsite.com/tattoo,+27 72 693 6334,15 Lingfield closer Close - Milnerton Ridge - Cape Town - 7441 - South Africa,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.,9a.m. - 9p.m.
Lady Luck Tattoos,,,,,2nd floor - 53 Wale St - CBD - Cape Town - 8001 - South Africa,,,,,,,
Vg Tattooing,,,,+27 78 599 8900,64 Clare St - Connaught - Cape Town - 7490 - South Africa,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.,9a.m. - 5p.m.
Mimi D Tattoo,,,https://www.instagram.com/mimi_d_tattoo/,,136 Buitenkant St - Gardens - Cape Town - 8001 - South Africa,,,,,,,
Ironclad Tattoos,,,https://aidincityonfire.wixsite.com/ironcladtattoos,+27 84 955 0943,3 Viola Rd - Table View - Cape Town - 7441 - South Africa,9a.m. - 12p.m.,9a.m. - 6p.m.,9a.m. - 6p.m.,Closed,9a.m. - 6p.m.,9a.m. - 6p.m.,9a.m. - 12p.m.
Gypsy Cove Tattoo,,,,+27 74 318 0080,2nd Floor - One11 Gallery - 111 Loop St - Cape Town City Centre - Cape Town - 8001 - South Africa,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 6p.m.,11a.m. - 3p.m.,11a.m. - 3p.m.
The Tattoo Shop Bellville,,,,+27 72 351 5177,217 Bellevue St - Kempenville - Cape Town - 7530 - South Africa,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.,9a.m. - 8p.m.
